,Title,Skill,Company,Location,Salary,Link
0,Software Development Engineer(SDE),Java,TELUS International,"Noida, Uttar Pradesh","₹20,294 - ₹1,00,566 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKTdDLzvA0OPsH7Bj8-c9Kc_Pxx7lvsBbJ6Fxi_3Ay_rajbq_BexHGmrl7nzMquHu4CnROyPo7HAUM-d6uceNDSyyBtJ-xUE7PFuUguwbLrOaZEPBosoRxMmwH3H_IA_FWRZ6N8UM0jbAM1vv2WLYvyvQ-2NAKiOQSTXoh7Tz4qx8KKFylP8Etmh8tqMvPOmSUiwTF2LEdt5a2t9dg2OrIiImrSC1tDzS0w5ywaPE5Cz4EfAt-KJSxX90mRbDXE5PIgPa1h8zNUewWLMIR9zhzwYCKiAUGvA4WTcw4Zx7rlaW3UPtgaYoyOoCEHmd7R3Pr2u5Hw2n-aqazWUxqP6S5KXuyzZqXiAgIk6VnmIGn7-Hj3E4wc9bQipP7jpaVgNBLM4H5MZWMXGg9KJsmBPyiRCB7lIb_ii8iBzJ_Gj-ithlUq05loS5p8G7q3id9Z7cB2O6vrnCtEKYXcGtjdaK5lKJxCIq-ql7YQ-QXY72UbA==&p=0&fvj=1&vjs=3
1,JAVA SPRING BOOT JUNIOR DEVELOPER,Java,"DivIHN Integration, Inc",India•Remote,"₹6,00,000 - ₹8,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJ3u6qF2wc9ICgZlvsKuNbbLBNkh5ZBfvXb2PoA2N6Q167jZcvFJgUYQitahDww1v23rDR6bQnx0LT1Ysipm9vREltuzn8JcsBqKKRv3QdRKrDmsQbUNc7urvs7j_kGWfhYUQ7nsQywkbqOxwxQJGM_ZBJG3MXLo9sEUBLXZE8bWPlc3z1Vc9SFCrEIavLLMMRwnRBe19jWiL7aLvanDwMiKFjpMho-Z6yIerUHa9Q8lnfSXNy_ycV-95u4gmyih6nZXLdvwHLRa18bPyZokaA5KWf6bPhFo0n_JP4ikvg1iNhi5z6BX2hogpW2xaDD9oOfQEFVmNdyOnxRfWjo6m5AiSi9jCRDfXqlGt7O1CTFmndoPZ4VovBmKnIqrk-3NW68hNHT8frNUrFELQ_0tkIvQ4qjf8N8aK2AwMbl3jpM4hTd08PQ2DUnZnHllV4aooWmOJkrBLoUNToKAQBc9VYFv0ztp--oVziwM2oDpUFdg==&p=1&fvj=1&vjs=3
2,Software Engineer,Java,Indeed,"Hyderabad, Telangana","₹21,60,000 - ₹32,40,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG17E2P-q2X1k60bEAGzt_KuzfuRJLzKgmuwOjqBZC2OQs6uIHhUa4VkKCnTk0iCyal47wtIlQPfq_nXjF9n_yVrOzonKTtEj4Btw4QNfgCajQIkGsCG-UAeTLFSZ77apUMn6kTvVGUBNLAiUYar0elZxfm9kZuPwO74xjL1ZRxheH_K2h755EavOemi531rHRFNEVm99m3XAZNSNdPkeFVECchJcNvKtWz2zeKsNdIBnodVMynlFBANij-YzTenB-fEzEyFd0h6CzBiB0hdWsX15aGWD3tf9pJwMcCs3iIq84ugroTEg6EebGKAln9E1pDRpxwMvwWra3mmBDZKfQbqIPSsNRhAtc35g3wA24J_BBTP-G07xxVRlYeAFG0OYhLXB9PYlcoD6LVKpL0Gn_xMofN1-2-nsKTY1xWdj5jErksSADnLB4008P5cSyoxPOQcFsscpzknBWuzU1lCJQLo&p=2&fvj=0&vjs=3
3,Software Development Engineer in Test,Java,Indeed,"Hyderabad, Telangana•Remote","₹28,60,000 - ₹43,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG09wQyzP6Fx7v8YZ-MGe6V1yztqmzdWS0VGsc-ts-V30nvcLZninzINBfgz54BL40GpQOsPTpz1M-7AKrxEGwuM5ROSmFc6VdxBINHX-DhTcoyz8XPHMq8QD_VHJrd9V4qX7hSVrldEoz0xFehaUyPc_6rzf6nYb9D0FhIzIK1cpS51Cmj8vqdijkLtQ9IIQQkXO4u3kM8PohXwwqzsFaooLqRGO0BUx_LYo4VkK9eooOPvF0X4tEIUFVK2jFFZLs3SsQpB2mQ_Y04WUa-Ub-dwcsmb76XcwomD-PgPezf5I3-I4_wk5cOtNzymaiHJ63WnRAmB6c5sO6m98KiS_nHD-RJrIPPMlbRPouhfKe8nMRHDYJd3ZhP-ci7nDgueQ91ZdO2PCM9u4IOP30Es_FuTINjKxSlFNg3Q6KAw-lnlGqrSic_vDiV-R29FnSDNVI3l2TWlgi9ayTTsYebENT-j&p=3&fvj=0&vjs=3
4,Java Developer,Java,Millionlights For (DXC Technologies),"Pune, Maharashtra•Temporarily Remote","₹3,80,000 - ₹4,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7gkfTW7BlLakI0gVzNXhLGF_UgmydI4MdiMDNEysRnRbGi2VRZDgIEbTsc_3xwNDmPOt166DfNIxv9_SzPrKs30H7cpB86MM0QPd7WcCJ7Tt1HtG59RxJIp1TRdq-t3qK09L8Ew-lDgboEeuPm5AbwhFHkbj9bb7IaywvSlQMJIaNH_qr6Ze_k3-HVRT9lq34rjGICWoKglXU1XkI1Mt11QSX4LSomgnQFRQ_szVSMtV-mu52Bj7A5wGJkO5JbjmBSnC0qY97Xhq7IFpl_VWJM3tfyLzxh5uRblbiKODpdRM5o1ThNxjnHZNXlRXyySexdZg3HjVvFNWpSL_HiTZ_ECsADop4wxA7pH4IR81jxiJdQBuWu9JGXJmTlKYfU74CE7BFQlKUXxl4tdKyzYeu1kaSMFshd7MBQJ9StOjsatxW5wYa_UvxFENIRAPh8lPu6eOsmQFN8g==&p=4&fvj=1&vjs=3
5,Software Developer,Java,Ananta Consulting Group,"Vadodara, Gujarat•Remote","₹3,50,000 - ₹10,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AzQLAU1AHR5p-e0TRuo9aEpfpqas090PnEES3cWosDoamI3i4gtKZTUDdHW5NcX-V_oY7hyOwKywadlYMItixkclER0ICxJaTYJsUY4YT1xYB-zCdXSVzaLMzLodKg05OPFuyDDahEWEEZ0ojsU6llMi6VgfXmxa5KyqL70ngi86PdGYJpp257Gvztj5kfPUhkOxXhjybH5TDvlBWjObG4mPB4Y6By32c1afyw3acgivojHJ79onkZJxzlqcB_FEYZrcN4G9V-cNOtwQSOvB6ZcwalQoIXkYs-XhFS_P_uy37gojdXO4uxi3rnkCxHBpiymVyGs5DxWQeIHINV4bDrGB_ctlHuDr4WPorjuiChaKysvSzUbSbNOrJ4_ZI_YYN5emIr10nIARDPYPtHjdipnW8OM6xyt4QnyBYzjl6NPVvoZzfl63GG1yE3LZRZr-4I9fSsW_Dbpg==&p=5&fvj=1&vjs=3
6,newJunior Java Developer,Java,ISCS Technologies Pvt Ltd,"Hyderabad, Telangana•Remote","₹5,00,000 - ₹20,00,000 a year",in.indeed.com/company/ISCS-Technologies-Pvt-Ltd/jobs/Junior-Java-Developer-10cf5f11a4f9316c?fccid=4393b9de60ad988d&vjs=3
7,newJava Freshers,Java,Leuwint technologies,"Bengaluru, Karnataka",Not Specified,in.indeed.com/company/Leuwint-technologies/jobs/Java-Fresher-65ce817fb0105ba2?fccid=7244c3e4de5ccf9e&vjs=3
8,newUI and Java Developer,Java,Oracle,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=8e83d111c28f2037&fccid=cd22d01053af7669&vjs=3
9,newJunior Android/Java Devloper,Java,SourceTrace Systems India Pvt Ltd,"Coimbatore, Tamil Nadu•Remote","₹20,000 - ₹32,356 a month",in.indeed.com/company/SourceTrace-Systems-India-Pvt-Ltd/jobs/Junior-Android-Java-Devloper-ae083e925c3c9265?fccid=852d7a6837cdfd40&vjs=3
